annotation_id,persona_id,image_id,condition,raw_demographics,predicted_sentiment,predicted_perceptions,caption,justification,parse_retries,timestamp_utc,vader_compound,vader_label,roberta_label,roberta_score
pno_perso_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_no_persona_no_think,no_persona,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,no_persona_no_think,{},Positive,"['Calm environment', 'Sunny weather', 'Pleasant environment']","A person's legs in jeans and white sneakers are visible, overlooking a bridge over water with a cityscape and greenery under a clear sky.","The relaxed posture and scenic, sunny view convey a peaceful and enjoyable moment.",0,2026-04-28T06:26:02Z,0.9022,Positive,Positive,0.9630586504936218
pno_perso_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_no_persona_no_think,no_persona,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,no_persona_no_think,{},Positive,"['Home', 'Calm', 'Children']","A plush panda toy sits on a windowsill next to a vase with flowers, overlooking a balcony with greenery and plants.","The cozy indoor setting with a stuffed animal and flowers, combined with the bright outdoor view, creates a warm and comforting atmosphere.",0,2026-04-28T06:26:29Z,0.8225,Positive,Positive,0.940410852432251
pno_perso_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_no_persona_no_think,no_persona,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,no_persona_no_think,{},Neutral,"['Landscape', 'Everyday environment', 'Natural phenomenon']",A view of a leafless forested area with a building and city skyline in the distance under a clear sky.,"The image presents a serene natural landscape with urban elements, lacking strong emotional indicators to lean towards positive or negative sentiment.",1,2026-04-28T06:28:22Z,0.8519,Positive,Neutral,0.7473641633987427
pno_perso_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_no_persona_no_think,no_persona,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,no_persona_no_think,{},SlightlyNegative,"['Lack of Maintenance (Negative)', 'Dark']","A section of a building with a concrete wall, metal pipes, a dark window, and a chain on the left side, featuring red text on the wall.","The building appears neglected and industrial, with a dark window and signs of disrepair.",0,2026-04-28T06:30:32Z,-0.5267,Negative,Negative,0.901467740535736
pno_perso_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_no_persona_no_think,no_persona,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,no_persona_no_think,{},Positive,"['Urban environment', 'Calm environment', 'Good weather']","A city skyline featuring tall buildings, a clear blue sky, and a sidewalk with street lamps.","The bright, clear sky and orderly urban layout create a peaceful and structured atmosphere.",0,2026-04-28T06:31:26Z,0.8689,Positive,Positive,0.9000104665756226
pno_perso_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_no_persona_no_think,no_persona,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,no_persona_no_think,{},Negative,"['Abandoned', 'Lack of Maintenance (Negative)']","An outdoor area with discarded furniture, piles of trash, and overgrown vegetation under a bridge structure.","The scene depicts an abandoned space with accumulated debris and overgrown plants, indicating neglect and disrepair.",1,2026-04-28T06:32:46Z,-0.7184,Negative,Negative,0.8050263524055481
pno_perso_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_no_persona_no_think,no_persona,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,no_persona_no_think,{},Neutral,"['Urban environment', 'Well-lit environment', 'Old building']","A tall brick building with a stone base, surrounded by green trees and a clear blue sky, with people near the entrance.","The image shows a typical urban setting with well-maintained structures and natural elements under bright lighting, indicating a neutral sentiment.",0,2026-04-28T06:33:41Z,0.6597,Positive,Neutral,0.8256697058677673
pno_perso_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_no_persona_no_think,no_persona,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,no_persona_no_think,{},Negative,"['Abandoned', 'Closed', 'Dark']",A dark tunnel with graffiti-covered walls leading to a bright light at the end.,"The dark, graffiti-covered tunnel conveys a sense of abandonment and isolation despite the light at the end.",0,2026-04-28T06:34:17Z,-0.7269,Negative,Negative,0.8245518803596497
pno_perso_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__no_persona_no_think,no_persona,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,no_persona_no_think,{},Positive,"['Animals(Positive)', 'Calm', 'Home']",A cat basking in sunlight on a wooden floor near a window with a cityscape visible outside.,"The cat appears relaxed and content in a warm, sunny indoor setting, creating a peaceful and pleasant atmosphere.",0,2026-04-28T06:35:06Z,0.9393,Positive,Positive,0.9559894800186156
pno_perso_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_no_persona_no_think,no_persona,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,no_persona_no_think,{},Positive,"['Calm', 'Nature', 'Peaceful environment', 'Sunny weather']","A sunlit park with trees, fallen leaves, and buildings visible in the background.","The image shows a bright, tranquil park scene with sunlight filtering through trees, creating a peaceful and natural atmosphere.",0,2026-04-28T06:35:43Z,0.875,Positive,Positive,0.9292970299720764
pno_perso_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_no_persona_no_think,no_persona,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,no_persona_no_think,{},Positive,"['Calm', 'Peaceful environment', 'Nature']",A wooden boardwalk winds through a forest with fallen autumn leaves and dense greenery.,The serene forest setting with a well-maintained path and natural surroundings creates a peaceful and positive mood.,0,2026-04-28T06:36:08Z,0.9246,Positive,Positive,0.9514819383621216
pno_perso_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_no_persona_no_think,no_persona,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,no_persona_no_think,{},SlightlyNegative,"['Abandoned', 'Lack of Maintenance (Negative)', 'Empty']",An empty room with cracked and patched brick walls and two terracotta pots on a worn wooden floor.,"The image shows an empty, neglected space with deteriorating walls, indicating abandonment and lack of maintenance.",0,2026-04-28T06:36:37Z,-0.872,Negative,Negative,0.8780229687690735
pno_perso_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_no_persona_no_think,no_persona,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,no_persona_no_think,{},Neutral,"['Empty (lack of people/animals)', 'Cleanliness']","An empty room with a wooden floor and gray walls, featuring a light switch on the wall.","The image depicts a clean, empty room with no people or objects, creating a neutral atmosphere.",0,2026-04-28T06:37:09Z,0.2263,Positive,Neutral,0.8102632164955139
