annotation_id,persona_id,image_id,condition,raw_demographics,predicted_sentiment,predicted_perceptions,caption,justification,parse_retries,timestamp_utc,vader_compound,vader_label,roberta_label,roberta_score
pno_perso_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_no_persona_think,no_persona,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,no_persona_think,{},Positive,"['Calm environment', 'Sunny weather', 'Pleasant environment']","A person's legs in jeans and white sneakers are visible, relaxing while overlooking a bridge over water with a cityscape and greenery under a clear sky.","The image shows a relaxed perspective with a scenic, sunny view suggesting comfort and enjoyment of the surroundings.",0,2026-04-28T05:32:02Z,0.9022,Positive,Positive,0.9141492247581482
pno_perso_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_no_persona_think,no_persona,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,no_persona_think,{},Positive,"['Home', 'Calm', 'Children']","A plush panda toy sits on a windowsill beside a vase with flowers, overlooking a balcony with greenery and plants.","The image features a soft toy and natural elements in a bright, cozy setting that evokes warmth and comfort.",0,2026-04-28T05:32:24Z,0.872,Positive,Positive,0.9134882092475892
pno_perso_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_no_persona_think,no_persona,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,no_persona_think,{},Neutral,"['Calm environment', 'dry trees', 'Empty (lack of people/animals)']",A landscape featuring leafless trees and dry bushes with a distant city skyline under a clear sky.,"The scene depicts a quiet, ordinary urban park view with no people, resulting in a neutral sentiment.",1,2026-04-28T05:34:15Z,-0.296,Negative,Neutral,0.8481782078742981
pno_perso_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_no_persona_think,no_persona,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,no_persona_think,{},SlightlyNegative,"['Abandoned', 'Lack of Maintenance', 'Industrial']","A close-up of a weathered building facade with pipes, a dark window, and a red 'H' on the wall.",The aged building and industrial elements indicate neglect and a desolate atmosphere.,1,2026-04-28T05:35:50Z,-0.4588,Negative,Negative,0.8856824040412903
pno_perso_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_no_persona_think,no_persona,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,no_persona_think,{},Positive,"['Urban environment', 'Good weather', 'Clean surroundings']","A city street with tall buildings, including modern glass structures and older architectural styles, under a clear blue sky.","The image depicts a clean, well-maintained urban area with clear skies and varied architecture, indicating a positive sentiment.",1,2026-04-28T05:38:16Z,0.836,Positive,Positive,0.9322865605354308
pno_perso_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_no_persona_think,no_persona,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,no_persona_think,{},Negative,"['Abandoned', 'Lack of Maintenance (Negative)']","An outdoor area with discarded furniture, piles of trash, and overgrown vegetation near a stone wall and under a bridge.","The scene depicts a neglected space with accumulated waste and overgrown plants, indicating abandonment and poor upkeep.",0,2026-04-28T05:38:45Z,-0.9136,Negative,Negative,0.8342355489730835
pno_perso_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_no_persona_think,no_persona,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,no_persona_think,{},SlightlyPositive,"['Old building', 'Urban environment', 'Pleasant environment']","A tall brick building with a stone base, surrounded by greenery and a clear sky, in an urban setting.","The image depicts a well-maintained urban area with historic architecture, greenery, and clear skies, creating a calm and pleasant atmosphere.",0,2026-04-28T05:39:59Z,0.8555,Positive,Positive,0.9465867280960084
pno_perso_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_no_persona_think,no_persona,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,no_persona_think,{},Negative,"['Abandoned', 'Graffiti', 'Narrow(Negative)']",A dark tunnel with graffiti-covered walls leading to a bright light at the end.,"The dark, graffiti-covered tunnel conveys a sense of abandonment and confinement, overshadowing the light at the end.",0,2026-04-28T05:41:44Z,-0.5267,Negative,Negative,0.8321496844291687
pno_perso_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__no_persona_think,no_persona,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,no_persona_think,{},Positive,"['Animals(Positive)', 'Calm', 'Home']","A ginger and white cat lies in sunlight on a tiled floor near a window, with a view of buildings and greenery outside.","The cat appears relaxed and content in a warm, peaceful indoor setting.",0,2026-04-28T05:42:21Z,0.8074,Positive,Positive,0.8797959685325623
pno_perso_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_no_persona_think,no_persona,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,no_persona_think,{},Positive,"['Calm environment', 'Peaceful environment', 'Nature']","A sunlit park with trees casting shadows on a ground covered in fallen leaves, with buildings visible in the background.","The bright sunlight, serene park setting, and natural elements create a tranquil and pleasant atmosphere.",1,2026-04-28T05:43:34Z,0.9186,Positive,Positive,0.9647045731544496
