Topic,Count,Name,Representation,Representative_Docs
-1,18165,-1_greenery_brick_fallen_tunnel,"['greenery', 'brick', 'fallen', 'tunnel', 'tall brick', 'wooden', 'leaves', 'vehicles', 'tall', 'floor']","['A tall brick building with a stone base, surrounded by greenery and a clear sky, with people near the entrance and a vehicle visible.', 'A tall brick building with a stone base, surrounded by greenery and a clear sky, with people near the entrance and a vehicle visible.', 'A tall brick building with a stone base, surrounded by greenery and a clear sky, with people near the entrance and a vehicle visible.']"
0,1067,0_indoor_blue_maintenance_clean,"['indoor', 'blue', 'maintenance', 'clean', 'individuals', 'walls', 'white', 'work', 'metal', 'working']","['Two workers in white shirts and denim shorts are using rakes to maintain an indoor sports court with blue walls and a net.', 'Two men in white shirts and denim shorts are cleaning or maintaining an indoor sports facility with a tennis net and blue walls.', 'Workers in white shirts and denim shorts are using brooms to clean or maintain an indoor facility with blue walls and a net.']"
1,1027,1_rusted metal_rusted_metal_stone,"['rusted metal', 'rusted', 'metal', 'stone', 'showing signs', 'structure', 'old', 'signs', 'abandonment', 'deterioration']","['An old stone structure with arched openings and rusted metal components, showing signs of weathering and age.', 'An old stone structure with arched openings and rusted metal components, showing signs of age and weathering.', 'An old stone structure with arched openings and rusted metal components, showing signs of weathering and age.']"
2,1009,2_sign_accident_indicating_person,"['sign', 'accident', 'indicating', 'person', 'bright', 'power', 'industrial', 'pedestrians walking', 'busy urban', 'urban street']","[""A person operating a tool that emits bright sparks in an industrial workspace, with a sign indicating '013 DAYS ACCIDENT FREE'."", ""A person operating a tool that emits bright sparks in an industrial workspace, with a sign indicating '013 DAYS ACCIDENT FREE' on the wall."", ""A person operating a tool that emits bright sparks in an industrial workshop, with a sign indicating '013 DAYS ACCIDENT FREE' on the wall.""]"
3,988,3_floors_long_clean_lighting,"['floors', 'long', 'clean', 'lighting', 'metal', 'ceiling', 'walls', 'modern', 'featuring', 'signs']","['A long, clean subway station corridor with tiled floors, metal ceilings, and a central bench.', 'A long, clean subway station with tiled floors, metal ceilings, and a bench in the center.', 'A long, clean subway station with tiled floors, metal walls, and a central bench.']"
4,791,4_lighting_peeling_peeling walls_debris floor,"['lighting', 'peeling', 'peeling walls', 'debris floor', 'abandoned', 'floor abandoned', 'scattered debris', 'floor', 'metal', 'worn']","['An abandoned bedroom with peeling wallpaper, a broken bed frame, and scattered debris on the floor, illuminated by dim lighting.', 'An abandoned bedroom with peeling wallpaper, a broken bed, and scattered debris on the floor, illuminated by dim lighting.', 'An abandoned bedroom with peeling walls, an old bed, and debris on the floor under dim lighting.']"
5,668,5_window_red_building facade_dark,"['window', 'red', 'building facade', 'dark', 'facade', 'closeup', 'faded', 'closeup weathered', 'weathered building', 'pipes']","['A close-up of a weathered building facade with a chain, pipes, and a dark window, featuring faded red lettering on the wall.', 'A close-up of a weathered building facade with a chain, pipes, and a dark window, featuring faded red text on the wall.', 'A weathered building facade with a chain, pipes, and a dark window, featuring faded red text on the wall.']"
6,636,6_leafless_leafless trees_skyline_city skyline,"['leafless', 'leafless trees', 'skyline', 'city skyline', 'bare', 'bare trees', 'view', 'natural', 'city', 'distant']","['A view of leafless trees and shrubs with a distant city skyline and a building in the midground.', 'A view of leafless trees and dry bushes with a distant city skyline and a building in the midground.', 'A view of leafless trees and shrubs with a distant city skyline and a building in the midground.']"
7,608,7_stalls_walking_market stalls_busy urban,"['stalls', 'walking', 'market stalls', 'busy urban', 'urban street', 'busy', 'pedestrians walking', 'market', 'street pedestrians', 'pedestrians']","['A busy urban street with pedestrians walking and market stalls on the right side.', 'A busy urban street with pedestrians walking past market stalls and shops.', 'A busy urban street with pedestrians walking past market stalls and shops.']"
8,601,8_scattered debris_including_car_concrete,"['scattered debris', 'including', 'car', 'concrete', 'scattered', 'debris', 'debris broken', 'visible background', 'broken', 'road']","['A highway with scattered debris, including a broken tire and litter, alongside a concrete barrier and a car in the background.', 'A highway with scattered debris, including a broken tire and litter, alongside a concrete barrier and a car in the background.', 'A highway with scattered debris, including a broken tire and litter, alongside a concrete barrier and a car in the background.']"
