annotation_id,persona_id,image_id,predicted_sentiment,caption_topic,just_topic
p00056301_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,00056301-002b-4188-ae79-f94a05a481f2,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,SlightlyPositive,-1,-1
p00056301_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,00056301-002b-4188-ae79-f94a05a481f2,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,Positive,-1,120
p00056301_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,00056301-002b-4188-ae79-f94a05a481f2,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,Neutral,33,-1
p00056301_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,00056301-002b-4188-ae79-f94a05a481f2,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,Neutral,110,-1
p00056301_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,00056301-002b-4188-ae79-f94a05a481f2,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,Neutral,-1,-1
p00056301_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,00056301-002b-4188-ae79-f94a05a481f2,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,SlightlyNegative,109,152
p00056301_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,00056301-002b-4188-ae79-f94a05a481f2,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,Neutral,-1,11
p00056301_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,00056301-002b-4188-ae79-f94a05a481f2,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,SlightlyNegative,175,-1
p00056301_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__baseline,00056301-002b-4188-ae79-f94a05a481f2,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,SlightlyPositive,135,-1
p00056301_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,00056301-002b-4188-ae79-f94a05a481f2,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,SlightlyPositive,-1,96
