Topic,Count,Name,Representation,Representative_Docs
-1,8956,-1_neglect_state_public_space,"['neglect', 'state', 'public', 'space', 'failure', 'visible', 'dilapidated', 'neglected', 'decay', 'systemic']","['The visible decay and neglect reflect systemic issues of disinvestment and environmental disregard.', 'The visible neglect and disrepair in this space reflect a failure to maintain public infrastructure, which is deeply concerning.', 'The dilapidated state and neglect of the building reflect a failure to maintain public infrastructure.']"
0,3203,0_natural_landscape_natural setting_beauty,"['natural', 'landscape', 'natural setting', 'beauty', 'serene natural', 'appreciation', 'sunlight', 'serene', 'setting', 'environment']","['The serene natural setting and warm sunlight evoke a sense of calm and appreciation for the environment.', 'The serene natural setting with sunlight and greenery evokes a sense of calm and appreciation for the environment.', ""The serene natural setting with sunlight and greenery evokes a sense of calm and appreciation for nature's beauty.""]"
1,2368,1_work_essential_development_workers,"['work', 'essential', 'development', 'workers', 'hard work', 'hard', 'essential infrastructure', 'contributing', 'progress', 'infrastructure']","['This image shows dedicated workers contributing to essential infrastructure development, which aligns with conservative values of progress and national strength.', 'This depicts essential infrastructure work, which aligns with conservative values of hard work and national progress.', 'This shows dedicated workers contributing to infrastructure development, which aligns with conservative values of hard work and progress.']"
2,2167,2_accident_police_response_situation,"['accident', 'police', 'response', 'situation', 'vehicles', 'accidents', 'negative situation', 'disruption', 'negative', 'scene']","['Another accident scene, probably from those reckless drivers.', 'The presence of police and emergency vehicles at a traffic accident indicates a negative situation.', 'This scene shows a serious accident with police response, which is a negative situation.']"
3,2097,3_rural_quiet_road_scene,"['rural', 'quiet', 'road', 'scene', 'traditional', 'scene reflects', 'traditional values', 'stability', 'peaceful', 'nature']","['This orderly rural scene reflects traditional values of stability and natural beauty.', 'A quiet rural road with no signs of activity, typical of a peaceful countryside setting.', 'A typical quiet rural scene with no signs of disturbance, just a peaceful countryside road.']"
4,1199,4_historical_wellpreserved_preserved_emotional,"['historical', 'wellpreserved', 'preserved', 'emotional', 'past', 'neutral', 'strong', 'heritage', 'connotations', 'strong emotional']","[""It's a historical military aircraft on display in a museum, which is a neutral historical exhibit."", ""As a conservative, I see this historical piece as a testament to our country's engineering and historical legacy."", 'A well-preserved historical military aircraft, reflecting engineering and historical significance.']"
5,1189,5_destruction_conflict_presence_violent,"['destruction', 'conflict', 'presence', 'violent', 'violence', 'scene shows', 'indicate', 'property', 'indicates', 'situation']","['The visible destruction and military presence indicate a violent conflict, which is negative.', ""The destruction and military presence show a violent conflict that's harmful to the community."", 'The destruction and military presence indicate a violent conflict, which is negative.']"
6,1178,6_streets_wellmaintained urban_orderly urban_clean,"['streets', 'wellmaintained urban', 'orderly urban', 'clean', 'orderly', 'clear skies', 'urban', 'skies', 'wellmaintained', 'city']","['The orderly urban landscape with clean streets and clear skies reflects a prosperous, well-maintained city that aligns with conservative values of stability and economic strength.', 'This orderly urban landscape with clean streets and clear skies reflects the prosperity and stability I appreciate in a well-run city.', 'This orderly urban scene with clear skies and clean streets reflects a well-managed city that aligns with conservative values of order and progress.']"
7,1142,7_city_natural setting_natural_trees,"['city', 'natural setting', 'natural', 'trees', 'urban', 'urban development', 'serene natural', 'balanced', 'backdrop', 'nature urban']","['The serene natural setting and distant cityscape evoke a peaceful appreciation for both nature and urban development.', 'A calm natural setting with a city view, reflecting a balanced appreciation for both nature and urban development.', 'The image presents a serene natural landscape with a distant city, reflecting a quiet coexistence between nature and urban development without strong emotional cues.']"
8,1104,8_home_peaceful scene_warm_comfort,"['home', 'peaceful scene', 'warm', 'comfort', 'sunlight', 'peaceful', 'comforting', 'moment', 'simple', 'homey']","['The peaceful scene of a cat basking in warm light in a well-maintained home feels comforting and serene.', 'The peaceful scene of a cat basking in sunlight creates a warm, homey atmosphere.', 'The peaceful scene of a cat basking in sunlight in a well-maintained home reflects comfort and tranquility.']"
