Topic,Count,Name,Representation,Representative_Docs
-1,34221,-1_just_like_view_emotional,"['just', 'like', 'view', 'emotional', 'particularly', 'feel', 'neglected', 'space', 'clear', 'piece']","[""It's just a depiction of daily infrastructure and movement, which doesn't evoke a strong emotional response."", ""It's just a depiction of daily infrastructure functioning, which doesn't evoke a strong emotional response."", ""The image presents a detailed view of preserved machinery, which is objectively interesting but doesn't evoke a strong emotional response.""]"
0,597,0_accident_clearly_event_just reinforces,"['accident', 'clearly', 'event', 'just reinforces', 'reinforces', 'systemic failures', 'failures', 'deeply', 'scene', 'negative']","['The scene of destruction and the visible wreckage clearly indicate a negative event, likely a serious accident.', 'The scene of destruction and the visible damage clearly indicate a negative event, likely an accident.', 'The scene of destruction clearly indicates a negative event, likely a serious accident or disaster.']"
1,562,1_traffic_police_disruption_activity,"['traffic', 'police', 'disruption', 'activity', 'presence', 'kind disruption', 'suggest', 'accident', 'event', 'normal']","['The presence of traffic congestion and police activity suggests a disruption in the normal flow of life, which is disheartening.', 'The presence of a traffic incident and police activity suggests disruption, which is naturally a negative occurrence.', 'The presence of a traffic incident and police activity suggests a disruption that is certainly not ideal.']"
2,401,2_domestic_warm_positive feeling_sunlight,"['domestic', 'warm', 'positive feeling', 'sunlight', 'peace', 'lends', 'setting', 'genuinely', 'home', 'gives']","['The warm sunlight and the relaxed cat create a genuinely pleasant and peaceful domestic scene.', 'The warm sunlight illuminating the cat in this domestic setting gives me such a feeling of gentle peace.', 'The warm sunlight illuminating the cat in this domestic setting gives me such a feeling of gentle peace.']"
3,332,3_abandonment space_pervasive sense_sense decay_abandonment,"['abandonment space', 'pervasive sense', 'sense decay', 'abandonment', 'pervasive', 'deeply', 'disheartening', 'decay', 'sense', 'space']","['The pervasive sense of decay and abandonment in this space is deeply disheartening.', 'The pervasive sense of decay and abandonment in this space is deeply disheartening.', 'The pervasive sense of decay and abandonment in this space is deeply disheartening.']"
4,317,4_expansive view_sense calm_weather_expansive,"['expansive view', 'sense calm', 'weather', 'expansive', 'calm', 'view', 'hope', 'bright', 'clear', 'pleasant']","['The expansive view and bright, clear weather give me a sense of calm and hopefulness.', 'The expansive view and bright, clear weather give me a sense of calm and hopefulness.', 'The expansive view and bright, clear weather give me a sense of calm and hopefulness.']"
5,308,5_architectural_purely_stark_image,"['architectural', 'purely', 'stark', 'image', 'presenting', 'neutral', 'texture', 'quite neutral', 'feels quite', 'image presents']","['The image is quite stark and lacks any strong emotional cues, presenting a very neutral architectural view.', 'The image presents a stark, architectural view that feels quite neutral, lacking any strong emotional cues.', 'The image presents a stark, architectural view that feels quite neutral, lacking any strong emotional cues.']"
6,307,6_reminds_just reminds_seeing_mess,"['reminds', 'just reminds', 'seeing', 'mess', 'things', 'heavy', 'accident', 'resources', 'people', 'reinforces']","[""Seeing all that destruction and the mess just reminds me of how fragile things are when you don't have the resources to keep things safe."", ""Seeing that wreck and all the mess just reminds me of how fragile things are when you don't have the resources to keep things safe."", 'Seeing that wreck and all that mess just reminds me of how fragile things are when the system fails people.']"
7,291,7_run_place looks_apart_place,"['run', 'place looks', 'apart', 'place', 'falling apart', 'falling', 'neglected just', 'things fall', 'things', 'fall apart']","[""This place looks completely run down and neglected, which just confirms what I already think about how things fall apart when you don't maintain them."", 'This place looks completely run down and neglected, which just confirms what I already think about how things fall apart.', ""This place looks completely run down and neglected, which just confirms what I already think about how things fall apart when you don't maintain them.""]"
8,276,8_warm_feeling presence_brings_little,"['warm', 'feeling presence', 'brings', 'little', 'vibrant', 'serene', 'seeing', 'feel little', 'pleasant', 'gentle']","['The presence of the cute panda and the vibrant flowers gives the whole scene a really warm and gentle feeling.', 'The presence of the cute panda and the vibrant flowers gives the whole scene such a warm and gentle feeling.', 'Seeing this cute little panda surrounded by nature just makes me feel warm and hopeful about things.']"
9,257,9_urban infrastructure_infrastructure_necessary_modern,"['urban infrastructure', 'infrastructure', 'necessary', 'modern', 'albeit somewhat', 'image presents', 'presents', 'typical urban', 'urban', 'typical']","['The image presents a mundane snapshot of urban infrastructure, lacking any strong emotional valence.', 'The image presents a mundane snapshot of urban infrastructure, lacking any strong emotional valence.', 'The image presents a mundane snapshot of urban infrastructure, lacking any strong emotional valence.']"
10,253,10_concerning_going just_just picture_picture,"['concerning', 'going just', 'just picture', 'picture', 'just looks', 'charged', 'particularly exciting', 'day', 'normal', 'going']","[""It's just a picture of flooring, nothing particularly exciting or concerning about it."", ""It's just a picture of flooring, nothing particularly exciting or concerning about it."", ""It's just a picture of flooring, nothing particularly exciting or concerning about it.""]"
