annotation_id,roberta_label,roberta_score
p04f4ad2a_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,Negative,0.9483442902565002
p04f4ad2a_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,Positive,0.6898595094680786
p04f4ad2a_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,Negative,0.792316734790802
p04f4ad2a_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,Negative,0.6752321124076843
p04f4ad2a_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,Neutral,0.6368849277496338
p04f4ad2a_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,Negative,0.9000230431556702
p04f4ad2a_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,Negative,0.9310590028762817
p04f4ad2a_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,Negative,0.8312102556228638
p04f4ad2a_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,Negative,0.8820003271102905
p04f4ad2a_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,Neutral,0.7339025139808655
p04f4ad2a_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,Positive,0.9140002131462097
p04f4ad2a_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,Positive,0.9209891557693481
p04f4ad2a_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,Negative,0.9371849894523621
p04f4ad2a_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,Negative,0.914760172367096
p04f4ad2a_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,Neutral,0.5287135243415833
p04f4ad2a_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,Positive,0.8207560777664185
p04f4ad2a_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,Positive,0.9121178984642029
p04f4ad2a_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,Negative,0.8842607140541077
p04f4ad2a_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_baseline,Negative,0.9138018488883972
p04f4ad2a_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,Negative,0.9204241633415222
p04f4ad2a_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_baseline,Neutral,0.7397031784057617
p04f4ad2a_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,Positive,0.9061751365661621
p04f4ad2a_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_baseline,Negative,0.9587915539741516
p04f4ad2a_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_baseline,Negative,0.8829130530357361
p04f4ad2a_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_baseline,Negative,0.9115245342254639
p04f4ad2a_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_baseline,Negative,0.9415184259414673
p04f4ad2a_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,Positive,0.8409304022789001
p04f4ad2a_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,Positive,0.9459745287895203
p04f4ad2a_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,Negative,0.9272609353065491
p04f4ad2a_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_baseline,Negative,0.9364838004112244
p04f4ad2a_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,Negative,0.5018492341041565
p04f4ad2a_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_baseline,Negative,0.9157235026359558
p04f4ad2a_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,Negative,0.9472984075546265
p04f4ad2a_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_baseline,Negative,0.9194919466972351
p04f4ad2a_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,Positive,0.8895213603973389
p04f4ad2a_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_baseline,Neutral,0.7858908176422119
