Topic,Count,Name,Representation,Representative_Docs
-1,14857,-1_outdoor_features_urban_gathered,"['outdoor', 'features', 'urban', 'gathered', 'people', 'group', 'exposed', 'clear', 'sits', 'right']","['The image shows a dimly lit, dilapidated interior space with exposed structural elements and debris on the floor.', 'The image shows a dimly lit, dilapidated interior space with exposed structural elements and debris on the floor.', 'The image shows a dimly lit, dilapidated interior space with exposed structural elements and debris on the floor.']"
0,823,0_colorful_sunset_green_view,"['colorful', 'sunset', 'green', 'view', 'sky', 'sky view', 'overlooking', 'image', 'shows', '']","['A wide view of rolling green hills meeting the ocean under a colorful sunset sky.', 'A wide view of rolling green hills meeting the ocean under a colorful sunset sky.', 'A wide view of rolling green hills meeting the ocean under a colorful sunset sky.']"
1,688,1_sunset_trees_foreground_structure,"['sunset', 'trees', 'foreground', 'structure', 'wooden', 'visible', 'sky', 'clear sky', 'clear', 'open']","['A traditional wooden structure is visible in the foreground against a backdrop of blooming trees and a sunset sky.', 'A traditional wooden structure is visible in the foreground against a backdrop of blooming trees and a sunset sky.', 'A traditional wooden structure is visible in the foreground against a backdrop of blooming trees and a sunset sky.']"
2,659,2_long_modern__,"['long', 'modern', '', '', '', '', '', '', '', '']","['A long, modern subway or transit tunnel with a central track running down the middle.', 'A long, modern subway or transit tunnel with a central track running down the middle.', 'A long, modern subway or transit tunnel with a central track running down the middle.']"
3,569,3_dark_closeup_wooden_visible,"['dark', 'closeup', 'wooden', 'visible', 'wooden floor', 'floor', '', '', '', '']","['A close-up, low-angle shot of dark brown wooden flooring with visible grain patterns.', 'A close-up, low-angle shot of dark brown wooden flooring with visible grain patterns.', 'A close-up, low-angle shot of dark brown wooden flooring with visible grain patterns.']"
4,484,4_construction_vests_highvisibility_highvisibility vests,"['construction', 'vests', 'highvisibility', 'highvisibility vests', 'lit', 'dimly', 'dimly lit', '', '', '']","['Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.', 'Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.', 'Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.']"
5,471,5_traffic_structure_view_large,"['traffic', 'structure', 'view', 'large', '', '', '', '', '', '']","['A wide view of a multi-lane highway with heavy traffic passing under a large bridge structure.', 'A wide view of a multi-lane highway with heavy traffic passing underneath a large bridge structure.', 'A wide view of a multi-lane highway with heavy traffic passing under a large bridge structure.']"
6,467,6_activity_person_bright_,"['activity', 'person', 'bright', '', '', '', '', '', '', '']","['A person is engaged in a workshop activity, generating bright sparks from a tool.', 'A person is engaged in a workshop activity, generating bright sparks from a tool.', 'A person is engaged in a workshop activity, generating bright sparks from a tool.']"
7,449,7_overgrown greenery_dense_amidst_fence,"['overgrown greenery', 'dense', 'amidst', 'fence', 'greenery', 'overgrown', 'wooden', '', '', '']","['A wooden plank leans against a wire fence amidst dense, overgrown greenery.', 'A wooden plank leans against a wire fence amidst dense, overgrown greenery.', 'A wooden plank leans against a wire fence amidst dense, overgrown greenery.']"
8,440,8_glass_large derelict_damaged_exposed structural,"['glass', 'large derelict', 'damaged', 'exposed structural', 'structural elements', 'structural', 'elements', 'derelict', 'interior large', 'exposed']","['The interior of a large, derelict building with a damaged glass roof and exposed structural elements.', 'The interior of a large, derelict building with a damaged glass roof and exposed structural elements.', 'The interior of a large, derelict building with a damaged glass roof and exposed structural elements.']"
9,438,9_corrugated metal_metal_signs_corrugated,"['corrugated metal', 'metal', 'signs', 'corrugated', 'concrete', 'fence', 'background', 'shows', 'lightcolored', 'wall']","['A corrugated metal fence shows signs of rust against a weathered concrete background.', 'A corrugated metal fence shows signs of rust against a weathered concrete background.', 'A corrugated metal fence shows signs of rust against a weathered concrete background.']"
10,430,10_orange_traffic_visible_colorful,"['orange', 'traffic', 'visible', 'colorful', '', '', '', '', '', '']","['A painted design resembling a sunburst or halo is visible on the asphalt next to an orange traffic cone.', 'A painted design resembling a sunburst or halo is visible on the asphalt next to an orange traffic cone.', 'A painted design resembling a sunburst or halo is visible on the asphalt next to an orange traffic cone.']"
